U38;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1009000;Head of State;Han Fuju;1928;1970;1999;PA;Insignificant Layman;High;M_Han Fuju;X
1009001;Head of Government;Han Fuju;1928;1970;1999;PA;Old General;High;M_Han Fuju;X
1009002;Foreign Minister;Han Fuju;1928;1970;1999;PA;Iron Fisted Brute;High;M_Han Fuju;X
1009003;Minister of Armament;Li Shuchun;1928;1970;1999;PA;Theoretical Scientist;High;M_Li Shuchun;X
1009004;Minister of Security;Fan Zhuxian;1928;1970;1999;PA;Crime Fighter;High;M_Fan Zhuxian;X
1009005;Head of Military Intelligence;Shi Jingting;1928;1970;1999;PA;Logistics Specialist;High;M_Shi Jingting;X
1009006;Chief of Staff;Gao Renfu;1928;1970;1999;PA;School of Psychology;High;;X
1009007;Chief of Army;Wen Chenglie;1928;1970;1999;PA;Guns and Butter Doctrine;High;M_Wen Chenglie;X
1009008;Chief of Navy;Yuan Fangqiao;1928;1970;1999;PA;Base Control Doctrine;High;M_Yuan Fangqiao;X
1009009;Chief of Air Force;Han Fuju;1928;1970;1999;PA;Air Superiority Doctrine;High;M_Han Fuju;X
1009010;Head of Government;Shi Yousan;1928;1970;1999;PA;Backroom Backstabber;Low;M_Shi Yousan;X
